Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
ARCI,Berlian Laju Tanker Tbk,3/26/1990,25940187103,Utama,Transportation & Logistic,50,1.30E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ARGO,Pabrik Kertas Tjiwi Kimia Tbk.,4/3/1990,3113223570,Utama,Basic Materials,8050,2.51E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ARII,Astra International Tbk.,4/4/1990,40483553140,Utama,Industrials,6225,2.52E+14,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ARKA,Metrodata Electronics Tbk.,4/9/1990,12276884585,Utama,Technology,575,7.06E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ARKO,Capitalinc Investment Tbk.,4/16/1990,31842082852,Pengembangan,Energy,50,1.59E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ARMY,Pudjiadi & Sons Tbk.,5/1/1990,797813496,Pengembangan,Consumer Cyclicals,464,3.70E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ARNA,Buana Finance Tbk.,5/7/1990,1645796054,Pengembangan,Financials,610,1.00E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ARTA,Millennium Pharmacon Internati,5/7/1990,1274000000,Utama,Consumer Non-Cyclicals,149,1.90E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ARTI,Summarecon Agung Tbk.,5/7/1990,16508568358,Utama,Properties & Real Estate,555,9.16E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ARTO,Duta Anggada Realty Tbk.,5/8/1990,3141390962,Utama,Properties & Real Estate,187,5.87E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
